label.delta,label.k_dn,label.k_up,label.n_v,label.t_fill_min,signal.k_h,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,win_rate,bt_n_trades,bt_total_return,bt_sharpe,trial_hash,daily_sr,n_days,skew,kurt
0.0,1.0,2.0,4,60,3.0,breakout,14882,0.9093535815078618,13533,-0.002160999108442205,-40.84199775442138,0.252937264464642,2621,-0.9999429055778236,-4.767183606194309,4393ab557088,-0.24952579428619862,3327,-6.111021711881742,65.61902690669216
0.0,1.0,2.0,4,60,4.0,dip,9200,0.8972826086956521,8255,-0.0017524490558652682,-26.785161561043925,0.2768019382192611,4603,-0.9997772971399717,-5.373230736797254,b2d34204981d,-0.28124775092367227,3327,-0.953846605095255,26.4854089726398
0.0,1.0,2.0,4,60,4.0,breakout,9899,0.9067582584099404,8976,-0.0020972189938794758,-31.565205701372946,0.2567959001782531,3269,-0.9998456782355283,-5.165762633344765,b2d34204981d,-0.2703883740715269,3327,-3.196831952944666,42.72826649474923
0.0,1.0,2.0,8,15,1.0,dip,50976,0.8163449466415568,41614,-0.001623785686785113,-54.21986365683975,0.28812418897486425,4406,-0.9999632371293723,-3.818970930736365,2540790600d6,-0.19989407448240276,3327,-4.717544334943727,43.990503957269496
0.0,1.0,2.0,8,15,1.0,breakout,52920,0.8067838246409675,42695,-0.001864292885579849,-63.08161298027691,0.2762150134676192,2153,-0.9999637262348189,-4.014807707555777,2540790600d6,-0.21014463987342685,3327,-4.845295046606782,41.364487026933084
0.0,1.0,2.0,8,15,2.0,dip,23979,0.8202593936360982,19669,-0.001588845668255736,-35.64986383830336,0.28964360160658903,5749,-0.9999284165590963,-4.454950286233479,5af722ec4c75,-0.2331827553764723,3327,-2.0457076930147915,31.15410615630893
0.0,1.0,2.0,8,15,2.0,breakout,25239,0.818217837473751,20651,-0.0019628451072791044,-44.97699211775316,0.27097961357803496,2713,-0.999963049853185,-4.4770414911412,5af722ec4c75,-0.23433906188922668,3327,-2.190260609479598,96.9345257492475
0.0,1.0,2.0,8,15,3.0,dip,14106,0.8214943995462923,11588,-0.0015758404316080958,-27.18720447382975,0.2904729030031067,5126,-0.999782574184943,-4.662610438332566,3976ce6f1566,-0.24405218451421073,3327,-0.912907227065842,38.523626035649485
0.0,1.0,2.0,8,15,3.0,breakout,14882,0.825964252116651,12292,-0.0019978633680882547,-34.3766932526096,0.2709892613081679,3295,-0.9999335028435834,-5.284658194398068,3976ce6f1566,-0.2766116521660353,3327,-4.780801224200125,57.48924607548307
0.0,1.0,2.0,8,15,4.0,dip,9200,0.8376086956521739,7706,-0.0016087302955085144,-22.373986705007344,0.286529976641578,4980,-0.9996706862136997,-5.019698054555184,02bf99a0ac4c,-0.2627430045933739,3327,-0.6245803607446347,28.30513072693904
0.0,1.0,2.0,8,15,4.0,breakout,9899,0.8229114051924437,8146,-0.001977545275768852,-28.049203102379465,0.26577461330714464,3671,-0.9997724595286921,-5.28346836898834,02bf99a0ac4c,-0.2765493738577196,3327,-0.9984096701443246,41.05293140393347
0.0,1.0,2.0,8,60,1.0,dip,50976,0.8958137162586315,45665,-0.0016775916721386934,-58.23559949969335,0.2857330559509471,3038,-0.9999637675234295,-3.9248305773406327,2a5fef02f4fd,-0.20543502162936472,3327,-5.352289160181603,41.35422332487057
0.0,1.0,2.0,8,60,1.0,breakout,52920,0.898790627362056,47564,-0.001917637766904383,-67.39557124619316,0.2749768732654949,1520,-0.9999637278038588,-3.827663194310304,2a5fef02f4fd,-0.20034904835200867,3327,-6.500556704565857,53.27861626338368
0.0,1.0,2.0,8,60,2.0,dip,23979,0.8955335918929063,21474,-0.0016323381826472347,-38.112690445238506,0.28834870075440067,5187,-0.9999349466232501,-4.287267553499202,a6301a97e7fa,-0.22440584000463012,3327,-2.228114579221579,42.22880633537895
0.0,1.0,2.0,8,60,2.0,breakout,25239,0.9038789175482388,22813,-0.0020646635052299204,-48.5741586202613,0.26945162845745846,1801,-0.9999631731173184,-4.024429563695722,a6301a97e7fa,-0.2106482708417637,3327,-5.241416658206766,67.86594230096122
0.0,1.0,2.0,8,60,3.0,dip,14106,0.8916064086204452,12577,-0.0016448731989586124,-29.47778787291393,0.2871113938141051,4768,-0.9997826027096594,-4.677609578430055,684f73d87c44,-0.24483727538874156,3327,-1.909885973673765,33.49663143585615
0.0,1.0,2.0,8,60,3.0,breakout,14882,0.9093535815078618,13533,-0.002113294041424031,-37.11488653280368,0.26823320771447573,2617,-0.9999432699340052,-4.59807451463933,684f73d87c44,-0.24067421988146112,3327,-6.257564975936617,81.26809379927379
0.0,1.0,2.0,8,60,4.0,dip,9200,0.8972826086956521,8255,-0.001644450626121455,-23.640950900168143,0.2854027861901878,4945,-0.999771727183649,-5.074919338205073,dadae656d8ec,-0.2656334186832231,3327,-0.8632276075154508,27.303858862872914
0.0,1.0,2.0,8,60,4.0,breakout,9899,0.9067582584099404,8976,-0.0020889685790987087,-29.815197106794688,0.2649286987522282,3252,-0.9998569112076637,-4.9296400766235156,dadae656d8ec,-0.25802915458642023,3327,-1.985773442814238,54.02658071184079
0.0,1.0,2.0,16,15,1.0,dip,50976,0.8163449466415568,41614,-0.0015823301934828485,-51.09764364660883,0.29074349978372666,4553,-0.9999632306958751,-3.74124744951178,a42f03b1adc5,-0.19582584154040883,3327,-4.409637261806813,39.98967810901906
