delta_sigma,grace_min,k_dn,k_h,k_up,n_v,t_fill_min,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,bt_n_trades,bt_total_return,bt_sharpe,bt_max_drawdown,exit_types,trial_hash,daily_sr,n_days,skew,kurt
1.0,15,2.0,4.0,1.0,2,60,dip,6725,0.574275092936803,3862,-0.0009014442462785365,-8.425353634824855,3859,-0.9711739796961835,-3.013899194387839,-0.9714420490580841,"{""tp"": 2030, ""sl"": 1219, ""time_maker"": 508, ""time_taker"": 105}",f77a35330f5d,-0.15775469386179677,2512,-2.919987079705754,31.070345840464427
1.0,15,2.0,4.0,1.0,2,60,breakout,7276,0.5744914788345244,4180,-0.0008416017488021889,-8.285523527422713,3938,-0.9659328374003254,-2.8941393498320434,-0.9659988578864802,"{""tp"": 1705, ""time_maker"": 1310, ""sl"": 867, ""time_taker"": 298}",43b839c1115b,-0.1514861771011779,2512,-2.252780688731025,30.404644645235596
1.0,15,2.0,4.0,1.0,4,15,dip,6725,0.37382899628252786,2514,-0.0008263848712225352,-5.840754644125365,2514,-0.8824409599476815,-2.0934012102837554,-0.8852908417887099,"{""tp"": 1521, ""sl"": 863, ""time_maker"": 103, ""time_taker"": 27}",f214c9034623,-0.10957362730418241,2512,-2.8962349025759404,37.19686727425242
1.0,15,2.0,4.0,1.0,4,15,breakout,7276,0.288345244639912,2098,-0.0010600710445819621,-6.554013713837603,2098,-0.8979022128929175,-2.482206331945063,-0.8980675336637846,"{""tp"": 1112, ""sl"": 592, ""time_maker"": 313, ""time_taker"": 81}",009dadff8326,-0.1299246174944951,2512,-2.1000242778596636,28.447625436991473
1.0,15,2.0,4.0,1.0,4,60,dip,6725,0.574275092936803,3862,-0.0008648416267625137,-7.749338717015693,3859,-0.9670448160457025,-2.7708378658013486,-0.9673383217091445,"{""tp"": 2282, ""sl"": 1331, ""time_maker"": 201, ""time_taker"": 48}",21d676f97dcd,-0.14503228245792382,2513,-2.7863167018086132,31.45676647959301
1.0,15,2.0,4.0,1.0,4,60,breakout,7276,0.5744914788345244,4180,-0.0009945708134354578,-9.053509087738652,3938,-0.9818863806388023,-3.176611368481943,-0.9819536653699494,"{""tp"": 2113, ""sl"": 1139, ""time_maker"": 724, ""time_taker"": 204}",e339537c8ca9,-0.16627143830354854,2512,-2.0884322133484545,24.728957776620476
1.0,15,2.0,4.0,2.0,1,15,dip,6725,0.37382899628252786,2514,-0.0007080651281538624,-4.65301913877435,2514,-0.8432847840971984,-1.686514104550066,-0.8432847840971984,"{""time_maker"": 1148, ""sl"": 746, ""tp"": 497, ""time_taker"": 123}",cdcb648c9b71,-0.08827618281073174,2512,-1.9066147192197542,35.351624841197605
1.0,15,2.0,4.0,2.0,1,15,breakout,7276,0.288345244639912,2098,-0.0013456917551692227,-8.269201217459132,2098,-0.943970975564556,-2.8962133937275114,-0.943970975564556,"{""time_maker"": 1280, ""sl"": 401, ""tp"": 234, ""time_taker"": 183}",96397ba7a975,-0.1515947375203169,2512,-4.222666871908252,77.09564978787358
1.0,15,2.0,4.0,2.0,1,60,dip,6725,0.574275092936803,3862,-0.0008960765466580415,-7.679932142995269,3858,-0.971606038801231,-2.732189149945937,-0.971611519001231,"{""time_maker"": 1908, ""sl"": 1116, ""tp"": 637, ""time_taker"": 201}",583b2a8e9d18,-0.1430093162123124,2512,-1.7467072791541745,25.167619478555363
1.0,15,2.0,4.0,2.0,1,60,breakout,7276,0.5744914788345244,4180,-0.0012334787876986757,-11.480747038147475,3938,-0.9924635089834439,-3.947595538205425,-0.992463810183444,"{""time_maker"": 2631, ""sl"": 747, ""time_taker"": 432, ""tp"": 370}",5045e213afdb,-0.20662659414071094,2512,-3.048484315160264,45.20182563570598
1.0,15,2.0,4.0,2.0,2,15,dip,6725,0.37382899628252786,2514,-0.00064213244397475,-3.80120210608585,2514,-0.8181639529133174,-1.3754592089189162,-0.8274691641278874,"{""sl"": 908, ""tp"": 756, ""time_maker"": 746, ""time_taker"": 104}",6f23a8b7ddc1,-0.07199482544951714,2512,-1.3523510119649176,26.01951934893692
1.0,15,2.0,4.0,2.0,2,15,breakout,7276,0.288345244639912,2098,-0.0013191828974056276,-7.416212486747283,2098,-0.9414106607752405,-2.6185120693312163,-0.9414399187439535,"{""time_maker"": 957, ""sl"": 532, ""tp"": 405, ""time_taker"": 204}",1c51e2964604,-0.1370591858679163,2512,-1.3974849382602783,46.002912692915146
